trap,source_system,source_record_id
drifted_phones,billing,B002
drifted_phones,crm,C002
drifted_phones,webforms,W003
gray_band_pair,crm,C006
gray_band_pair,webforms,W006
missing_emails,billing,B002
missing_emails,billing,B004
missing_emails,crm,C008
missing_emails,webforms,W004
nickname_pair,crm,C001
nickname_pair,webforms,W001
placeholder_email,billing,B007
placeholder_email,webforms,W001
shared_household,crm,C004
shared_household,webforms,W005
survivorship_tie,webforms,W007
survivorship_tie,webforms,W008
typo_surname,billing,B003
typo_surname,crm,C003
