persona_id,source_system,source_record_id,entity_label
P1,billing,B001,E1
P1,crm,C001,E1
P1,webforms,W001,E1
P1,webforms,W002,E1
P10,crm,C008,E9
P10,webforms,W009,E9
P11,crm,C010,E5
P12,billing,B009,E7
P12,webforms,W010,E7
P2,billing,B002,E2
P2,crm,C002,E2
P2,crm,C009,E2
P2,webforms,W003,E2
P3,billing,B003,E3
P3,crm,C003,E3
P3,webforms,W004,E3
P4,billing,B004,E4
P4,billing,B008,E4
P4,crm,C004,E4
P5,crm,C005,E8
P5,webforms,W005,E8
P6,billing,B005,E5
P6,crm,C006,E5
P7,billing,B006,E5
P7,webforms,W006,E5
P8,webforms,W007,E10
P8,webforms,W008,E10
P9,billing,B007,E6
P9,crm,C007,E6
